"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: W5 Mapping","Mapping: Object Implementation Information"
"CapabilityStatement","","","",1,1,"","","","","A statement of system capabilities","This is a simple example Template.","","","","","","","","","",,,,,"",,,,"CapabilityStatement",1,1,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}cpb-8:There can only be one REST declaration per mode. {rest.select(mode).isDistinct()}cpb-7:The set of documents must be unique by the combination of profile and mode. {document.select(profile.reference&mode).isDistinct()}cpb-15:Capability Statements of kind 'instance' do not have implementation elements. {implementation.empty() or kind != 'capability'}cpb-3:Messaging end-point is required (and is only permitted) when a statement is for an implementation. {messaging.endpoint.empty() or kind = 'instance'}cpb-14:Capability Statements of kind 'requirements' do not have software or implementation elements. {(software.empty() and implementation.empty()) or kind != 'requirements'}cpb-2:A Capability Statement SHALL have at least one of description, software, or implementation element. {(description.count() + software.count() + implementation.count()) > 0}cpb-1:A Capability Statement SHALL have at least one of REST, messaging or document element. {rest.exists() or messaging.exists() or document.exists()}","Entity. Role, or Act","n/a","conformance.behavior"
"CapabilityStatement.messaging.endpoint.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.messaging.endpoint.protocol","","","",1,1,"","","","Coding {[]} {[]}
","http | ftp | mllp +","A list of the messaging transport protocol(s) identifiers, supported by this endpoint.","","","","","","","","","",,"extensible","The protocol used for message transport.","http://hl7.org/fhir/ValueSet/message-transport","",,,,"CapabilityStatement.messaging.endpoint.protocol",1,1,"",""
"CapabilityStatement.messaging.endpoint.address","","","",1,1,"","","","uri {[]} {[]}
","Network address or identifier of the end-point","The network address of the end-point. For solutions that do not use network addresses for routing, it can be just an identifier.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.endpoint.address",1,1,"",""
"CapabilityStatement.messaging.reliableCache","","","",0,1,"","","","unsignedInt {[]} {[]}
","Reliable Message Cache Length (min)","Length if the receiver's reliable messaging cache in minutes (if a receiver) or how long the cache length on the receiver should be (if a sender).","If this value is missing then the application does not implement (receiver) or depend on (sender) reliable messaging.","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.reliableCache",0,1,"",""
"CapabilityStatement.messaging.documentation","","","",0,1,"","","","string {[]} {[]}
","Messaging interface behavior details","Documentation about the system's messaging capabilities for this endpoint not otherwise documented by the capability statement.  For example, the process for becoming an authorized messaging exchange partner.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.documentation",0,1,"",""
"CapabilityStatement.messaging.supportedMessage","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Messages supported by this system","References to message definitions for messages this system can send or receive.","This is a proposed alternative to the messaging.event structure.","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.supportedMessage",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.messaging.supportedMessage.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.messaging.supportedMessage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.messaging.supportedMessage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.messaging.supportedMessage.mode","","","",1,1,"","","Y","code {[]} {[]}
","sender | receiver","The mode of this event declaration - whether application is sender or receiver.","","","","","","","","","",,"required","The mode of a message capability statement.","http://hl7.org/fhir/ValueSet/event-capability-mode","",,,,"CapabilityStatement.messaging.supportedMessage.mode",1,1,"",""
"CapabilityStatement.messaging.supportedMessage.definition","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MessageDefinition]]}
","Message supported by this system","Points to a message definition that identifies the messaging event, message structure, allowed responses, etc.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.supportedMessage.definition",1,1,"",""
"CapabilityStatement.messaging.event","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Declare support for this event","A description of the solution's support for an event at this end-point.","The same event may be listed up to two times - once as sender and once as receiver.","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.event",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.messaging.event.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.messaging.event.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.messaging.event.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.messaging.event.code","","","",1,1,"","","Y","Coding {[]} {[]}
","Event type","A coded identifier of a supported messaging event.","","","","","","","","","",,"example","One of the message events defined as part of FHIR.","http://hl7.org/fhir/ValueSet/message-events","",,,,"CapabilityStatement.messaging.event.code",1,1,"",""
"CapabilityStatement.messaging.event.category","","","",0,1,"","","","code {[]} {[]}
","Consequence | Currency | Notification","The impact of the content of the message.","","","","","","","","","",,"required","The impact of the content of a message.","http://hl7.org/fhir/ValueSet/message-significance-category","",,,,"CapabilityStatement.messaging.event.category",0,1,"",""
"CapabilityStatement.messaging.event.mode","","","",1,1,"","","","code {[]} {[]}
","sender | receiver","The mode of this event declaration - whether an application is a sender or receiver.","","","","","","","","","",,"required","The mode of a message capability statement.","http://hl7.org/fhir/ValueSet/event-capability-mode","",,,,"CapabilityStatement.messaging.event.mode",1,1,"",""
"CapabilityStatement.messaging.event.focus","","","",1,1,"","","","code {[]} {[]}
","Resource that's focus of message","A resource associated with the event.  This is the resource that defines the event.","This SHALL be provided if the event type supports multiple different resource types.","","","","","","","","",,"required","One of the resource types defined as part of FHIR.","http://hl7.org/fhir/ValueSet/resource-types","",,,,"CapabilityStatement.messaging.event.focus",1,1,"",""
"CapabilityStatement.messaging.event.request","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureDefinition]]}
","Profile that describes the request","Information about the request for this event.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.event.request",1,1,"",""
"CapabilityStatement.messaging.event.response","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureDefinition]]}
","Profile that describes the response","Information about the response for this event.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.event.response",1,1,"",""
"CapabilityStatement.messaging.event.documentation","","","",0,1,"","","","string {[]} {[]}
","Endpoint-specific event documentation","Guidance on how this event is handled, such as internal system trigger points, business rules, etc.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.messaging.event.documentation",0,1,"",""
"CapabilityStatement.document","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Document definition","A document definition.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.document",0,*,"cpb-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
"
"CapabilityStatement.document.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CapabilityStatement.document.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"CapabilityStatement.document.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"CapabilityStatement.document.mode","","","",1,1,"","","","code {[]} {[]}
","producer | consumer","Mode of this document declaration - whether an application is a producer or consumer.","","","","","","","","","",,"required","Whether the application produces or consumes documents.","http://hl7.org/fhir/ValueSet/document-mode","",,,,"CapabilityStatement.document.mode",1,1,"",""
"CapabilityStatement.document.documentation","","","",0,1,"","","","string {[]} {[]}
","Description of document support","A description of how the application supports or uses the specified document profile.  For example, when documents are created, what action is taken with consumed documents, etc.","","","","","","","","","",,,,,"",,,,"CapabilityStatement.document.documentation",0,1,"",""
"CapabilityStatement.document.profile","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureDefinition]]}
","Constraint on a resource used in the document","A constraint on a resource used in the document.","The first resource is the document resource.","","","","","","","","",,,,,"",,,,"CapabilityStatement.document.profile",1,1,"",""
